Issue key,Summary,Description,Status,Priority,Issue Type,Created,Updated,Assignee,Labels,Components
GNOC-9822,HC: SC - ZenPark SMS Increase for 2 SIM (NSI),"Since 20251013 03:20 UTC, GNOC observed a increase of SMS for single customer Zenpark. Upon investigating into Kibana, GNOC was able to isolate out the two SIM that were generating the SMS traffic. GNOC checked Viavi with the isolated SIM and discovered that these are not Spam messages. Hence, GNOC will keep an eye on this increase. Start time: 20251013 03:20 UTC End time: Duration: Impacted customers: Zenpark Impacted VPLMNs: Orange France, Bouygues Telecom Affected services: Sigtran Affected Roaming Partner: BICS Device Type: Advanced Sample ICCID: 8933240100001116926, 8933240100001008480",Work in progress,P4-Low,Incident,2025-10-13T05:26:24.513+0000,2025-10-13T05:43:12.312+0000,Steven Lee,"MVNO, Zenpark",MVNO Voice
GNOC-9820,"SHIFT REPORT: Steven Lee - Oct 12, 2025",Using the SHIFT REPORT ticket to record: a. Health Checks b. “Benign/Brief Spike” investion information c. Time spent working on projects/other activities,Work in progress,P5-Lowest,Incident,2025-10-13T00:57:52.809+0000,2025-10-13T05:19:32.450+0000,Steven Lee,,
GNOC-9788,All External emails blocked to GlobalNOC mail ID and GNOC members (NSI),"All external emails blocked to GlobaNoc and it's members Incident Summary Issue: Email delivery failures to globalnoc@semtech.com mailbox and its members due to Mimecast email filtering system. Root Cause: Emails were being held/blocked by Mimecast's new email filtering system. External and internal senders are currently being screened as part of postimplementation review. No senders are whitelisted at this time while the email security team reviews and organizes the new filtering system. Current Status: GNOC Leadership will be joining a joint call today, 20251009, with the Semtech Global IT team admins to persue a permanent resolution. Our current (individual) workaround, is a manual release of held emails after logging into Mimecast, https://login.mimecast.com/m/portal/login/#/login The team received only one general notification email from Mimecast last month , informing them about the new email filtering system implementation and asking them to review the Mimecast portal. However, this was merely a broad announcement about the system rollout rather than specific alerts about blocked emails. Impact: Multiple emails were held in quarantine and not delivered to recipients Priority customer service emails were delayed, affecting realtime response capabilities No notification emails were received by affected users when messages were held Resolution Steps Taken: All held emails were manually released by the Email Admin team Emails were released specifically for globalnoc@semtech.com shared mailbox and its members Users were informed about the Mimecast portal ( https://loginusb.mimecast.com/ ) where they can review and release held/blocked/rejected emails independently Current Status: Emails have been released (temporary fix) Permanent whitelisting is not possible at this time due to ongoing review of the Mimecast system Postimplementation work is being handled by the Email Admin team 1 0/10–Asim and Arabinda have provide a plenary listing of external domains that Semt",Work in progress,P4-Low,Incident,2025-10-09T10:05:22.038+0000,2025-10-13T04:32:31.293+0000,yjadhav,EMAIL_ISSUES,
GNOC-9762,Alert: COFI-3629 Customer Presence Verte Data session issue following 4G-3G handover Over Orange 901 (CSI),"We have opened this ticket to track GNOC’s efforts with Orange to resolve this issue. GNOC called Orange 901 at 16:30 UTC on October 7, 2025, and spoke with Amine. We requested an immediate escalation to the duty manager and asked that the manager join the bridge, but Orange stated that it was not possible. GNOC management has instructed the manager to contact them within the next 15–30 minutes. Orange Ticket: S510083629 COFI link : https://issues.sierrawireless.com/projects/COFI/issues/COFI3629?filter=allopenissues Although we couldn’t get anyone from Orange to join the bridge today, Joelle, Orange901 management will be contacting Seb (EMEA management) tomorrow morning 10/8. Most recent update for Orange ticket S510083629 Ramzi Azaiez from Semtech tested with a local device…performed a ping test to his device, using Orange IMSI on Orange France and then when made MT to device, device fell back to 3G, current data session was disrupted. (901311532905702) 10 seconds later, a new data session was started up. 4G 901311532907233 …fresh 4G data session; then MT call received; device switched to 3G received modify bearer from Orange post voice call, device stated 3G down Lost Service and then started new 4G data session @ Wed 10/8/2025 16:27 AM UTC, Sebastien advised Orange901 management he reproduced issue in Sweden as well as Orange France. In both cases the data traffic stopped when the device fallback from 4G to 3G after the reception of a voice call. Anas tested Sparkle imsi on Orange France ( CSFA00652929 ) 2G/3G test with internet.mbqt.net was successful 4G test with internet.mbqt.net failed 4G test with internet.swir was successful 4G test with internet.mbqt.net failed 10/10 Asim has scheduled a troubleshooting conf call for 10/13 at 8:00 UTC with Orange901 Management, Sebastien, Ramzi, and other leadership members within Semtech. Original COFI ticket is 3629",Work in progress,P4-Low,Incident,2025-10-07T16:51:42.747+0000,2025-10-13T04:31:27.622+0000,Ed Guigou,,
GNOC-9754,HC: Lost Services Increasing for Orange_901(CSI),"On October 07, 2025, at 07:35 UTC, during a routine health check, GNOC observed a significant increase in lost service. We have investigated the issue and found the following observations: Investigation & Findings: OpenSearch analysis indicated sessions were stopped due to Lost Service towards Orange901 , impacting multiple VPLMNs and customers. Main VPLMNs appearing in Data Insights where the Lost Service radius transactions appeared were: Orange France Telenor Sweden Vodafone Germany Devices were unable to establish new data sessions for a short time, and some ongoing sessions were dropped. The Lost Service error was fluctuating, and the overall session drop remained limited. GNOC raised a JSM ticket and escalated the issue to Orange via the Orange Portal. Filtering at [OFFICIAL] Device Data session MVNO (Radius Based) The following Orange SGW IP addresses cropped up with the bursts of Lost Service at the following timestamps: Main apns showing up during these bursts were: ultrasync.swir inversprivate.mbqt.net 80.10.181.87 – 8:33 UTC 80.10.181.88 – 8:48 UTC 80.10.181.177 – 9:04 UTC 80.10.181.178 – 9:16 UTC 80.10.181.179 – 9:27 UTC 80.10.181.180 – 9:39 UTc 80.10.181.182 – 10:04 UTC 80.10.181.183 – 10:13 UTC 80.10.181.184 – 10:29 UTC Whereas our PGW IP address pulled up as 46.23.241.7 Current Status: Services were fully restored by 10:35 UTC on October 07, 2025 . No further recurrences have been observed Orange Ticket: S510090764 Keynotes: Customers Impacted: Invers GmbH (mostly), Toyota Material Handling, Solustop, Thales SIX GTS France – SAPHIR BAR 2023, Carrier Fire and Security B.V., Synox, ZEPLUG, CARRIER SCS, Wilson Electronics., Solustop,Networth Telecom , ZEPLUG Traffic Procedure: Start / Stop / Interim Update Error: Lost Service Roaming Partner: Orange901 Device Types: Essentials5, Advanced3, Advanced4 VPLMNs: Orange France TMobile USA, Inc Telenor Sverige AB Telia Sverige AB KPN B.V. Sample IMSIs: 8933240100001561443/208243091012657 Regions Impacted: EU an",Completed,P4-Low,Incident,2025-10-07T09:31:11.057+0000,2025-10-13T03:42:28.349+0000,Rajan Yadav,"Lost_Service, orange901",MVNO Telco
GNOC-9821,"SHIFT REPORT: Arabinda Mishra - Oct 13, 2025","SHIFT REPORT: Arabinda Mishra Oct 13, 2025",Work in progress,P5-Lowest,Incident,2025-10-13T03:07:54.001+0000,2025-10-13T03:41:27.557+0000,Arabinda Mishra,,
GNOC-9798,ALERT:  Jersey Telecom LTE Network Degradation (primarily in North America) (CSI),"Jersey Telecom LTE Network Degradation (primarily in North America) | No Customer Reported Cases Decrease Jersey Telecom LTE Network Connectivity JT’s LTE traffic dropped 50% Impact: Essentials 3 customers may have experienced some issues (delays or intermittent failures) establishing LTE Data services and network connectivity primarily in the North America market. Approximately a total of 9.8K LTE Data Sessions were dropped. Most existing Data Sessions were unaffected. Cause: One of JT’s customers experienced failures on their primary IMSI provider causing congestion overloading JT’s IPX links. Velos (JT) ticket# IOT42932 Final Update: Services Restored. Jersey Telecom (JT) had experienced network degradation in LTE Network Service primarily in North America. JT experienced a Device Connectivity Issue due to congestion on one of its partner’s core network. The Incident was raised to a Level 3 Escalation. An official Velos (JT) RCA will be requested. GNOC engaged the partner via the Velos IoT Support team pushing the carrier to address and resolve. At 20251009 15:38 UTC there was a significant drop in Jersey Telecom LTE Network Traffic and Connectivity. At least half of the normal traffic levels are being observed. GNOC engaged the carrier Velos IoT Support (Jersey Telecom) to investigate the possible issue or unexpected network changes on its network. Start Time: 20251009 15:38 UTC End Time: 20251009 22:05 UTC Duration: 6 hours, 27 minutes Impacted Customer(s): Connected Cycle, Premier Wireless Solutions, NextCentury Submetering Systems, LLCCorporate Systems Engineering Connectivity, Premier Wireless Solutions, UHS Pty Ltd (KIDDE Global Solutions) US, Wilson Electronics ICCID(s) sampled: 8933240100000951505, 89332401000012715088 Internal IMSI: 234507089847846, 234500020162124 MSISDN: 14696340119, 337000020205516 Impacted VPLMN: TMobile USA, Inc, AT&T Mobility, Verizon Wireless, Rogers Wireless, and Bouygues Telecom Impacted Roaming Partner: Jersey Telecom Country: ",Completed,P3-Medium,Incident,2025-10-09T16:03:22.282+0000,2025-10-13T03:20:09.766+0000,Rashied Lataillade,"DRA, Jersey",MVNO Voice
GNOC-9816,"SHIFT REPORT: Ed Guigou- Oct 12, 2025","SHIFT REPORT: Ed Guigou Oct 12, 2025",Completed,P5-Lowest,Incident,2025-10-12T13:11:06.442+0000,2025-10-13T03:16:00.724+0000,Ed Guigou,,
GNOC-9817,"SHIFT REPORT: Sema Kimathi - Oct 12, 2025","SHIFT REPORT: Sema Kimathi Oct 12, 2025",Completed,P5-Lowest,Incident,2025-10-12T13:16:22.158+0000,2025-10-13T01:05:27.862+0000,Sema Kimathi,,
GNOC-9813,"SHIFT REPORT: Steven Lee - Oct 11, 2025",Using the SHIFT REPORT ticket to record: a. Health Checks b. “Benign/Brief Spike” investion information c. Time spent working on projects/other activities,Completed,P5-Lowest,Incident,2025-10-11T22:57:34.064+0000,2025-10-13T00:57:54.356+0000,Steven Lee,,
